Name;Type;Attack
(MAX) Clawmark Seal;Sacred Seal;54
(MAX) Clayman's Harpoon;Spear;398
(MAX) Claymore;Greatsword;338
(MAX) Cleanrot Knight's Sword;Thrusting Sword;267
(MAX) Cleanrot Spear;Spear;410
(MAX) Clinging Bone;Fist;254
(MAX) Club;Hammer;252
(MAX) Coded Sword;Straight Sword;208
(MAX) Coil Shield;Small Shield;0
(MAX) Commander's Standard;Halberd;338
(MAX) Composite Bow;Light Bow;159
(MAX) Cranial Vessel Candlestand;Great Hammer;480
(MAX) Crepus' Black-Key Crossbow;Crossbow;238
(MAX) Crescent Moon Axe;Greataxe;357
(MAX) Cross-Naginata;Spear;298
(MAX) Crossed-Tree Towershield;Great Shield;0
(MAX) Crucible Hornshield;Great Shield;0
(MAX) Crystal Knife;Dagger;329
(MAX) Crystal Staff;Glintstone Staff;75
(MAX) Crystal Sword;Straight Sword;425
(MAX) Crytsal Spear;Spear;349
(MAX) Cuckoo Greatshield;Great Shield;0
(MAX) Curved Club;Hammer;279
(MAX) Curved Great Club;Great Hammer;355
(MAX) Dagger;Dagger;181
(MAX) Dark Moon Greatsword;Greatsword;440
(MAX) Death Ritual Spear;Spear;398
(MAX) Death's Poker;Greatsword;389
(MAX) Demi-Human Queen's Staff;Glintstone Staff;54
(MAX) Devourer's Scepter;Great Hammer;443
(MAX) Digger's Staff;Glintstone Staff;66
(MAX) Dismounter;Curved Greatsword;338
(MAX) Distinguished Greatshield;Great Shield;0
(MAX) Dragon Communion Seal;Sacred Seal;61
(MAX) Dragon Greatclaw;Colossal Weapon;485
(MAX) Dragon Halberd;Halberd;330
(MAX) Dragon King's Cragblade;Heavy Thrusting Sword;369
(MAX) Dragon Towershield;Great Shield;0
(MAX) Dragonclaw Shield;Great Shield;0
(MAX) Dragonscale Blade;Katana;269
(MAX) Duelist Greataxe;Colossal Weapon;416
(MAX) Eclipse Crest Greatshield;Great Shield;0
(MAX) Eclipse Crest Heater Shield;Medium Shield;0
(MAX) Eclipse Shotel;Curved Sword;376
(MAX) Eleonora's Poleblade;Twinblades;352
(MAX) Envoy's Greathorn;Colossal Weapon;487
(MAX) Envoy's Horn;Hammer;386
(MAX) Envoy's Long Horn;Great Hammer;485
(MAX) Erdsteel Dagger;Dagger;164
(MAX) Erdtree Bow;Bow;220
(MAX) Erdtree Greatbow;Greatbow;306
(MAX) Erdtree Greatshield;Great Shield;0
(MAX) Erdtree Seal;Sacred Seal;97
(MAX) Estoc;Thrusting Sword;262
(MAX) Executioner's Greataxe;Greataxe;367
(MAX) Falchion;Curved Sword;267
(MAX) Fallingstar Beast Jaw;Colossal Weapon;528
(MAX) Family Heads;Flail;362
(MAX) Finger Seal;Sacred Seal;43
(MAX) Fingerprint Stone Shield;Great Shield;0
(MAX) Flail;Flail;274
(MAX) Flamberge;Greatsword;316
(MAX) Flame Crest Shield;Medium Shield;0
(MAX) Flowing Curved Sword;Curved Sword;267
(MAX) Forked Greatsword;Greatsword;303
(MAX) Forked Hatchet;Axe;259
(MAX) Frenzied Flame Seal;Sacred Seal;61
(MAX) Frozen Needle;Thrusting Sword;242
(MAX) Full Moon Crossbow;Crossbow;350
(MAX) Gargoyle's Black Axe;Greataxe;539
(MAX) Gargoyle's Black Halberd;Halberd;553
(MAX) Gargoyle's Blackblade;Greatsword;547
(MAX) Gargoyle's Black Blades;Twinblades;435
(MAX) Gargoyle's Great Axe;Greataxe;301
(MAX) Gargoyle's Greatsword;Greatsword;325
(MAX) Gargoyle's Halberd;Halberd;320
(MAX) Gargoyle's Twinblade;Twinblades;301
(MAX) Gelmir Glintstone Staff;Glintstone Staff;50
(MAX) Ghiza's Wheel;Colossal Weapon;382
(MAX) Ghostflame Torch;Torches;342
(MAX) Giant's Red Braid;Whip;329
(MAX) Giant's Seal;Sacred Seal;43
(MAX) Giant-Crusher;Colossal Weapon;379
(MAX) Gilded Greatshield;Great Shield;0
(MAX) Gilded Iron Shield;Small Shield;0
(MAX) Glaive;Halberd;323
(MAX) Glintstone Kris;Dagger;305
(MAX) Godskin Peeler;Twinblades;296
(MAX) Godskin Stitcher;Heavy Thrusting Sword;311
(MAX) Godslayer's Greatsword;Colossal Sword;479
(MAX) Godslayer's Seal;Sacred Seal;43
(MAX) Golden Beast Crest Shield;Great Shield;0
(MAX) Golden Epitaph;Straight Sword;416
(MAX) Golden Greatshield;Great Shield;0
(MAX) Golden Halberd;Halberd;541
(MAX) Golden Order Greatsword;Greatsword;462
(MAX) Golden Order Seal;Sacred Seal;58
(MAX) Golem Greatbow;Greatbow;318
(MAX) Golem's Halberd;Colossal Weapon;387
(MAX) Grafted Blade Greatsword;Colossal Sword;396
(MAX) Grafted Dragon;Fist;357
(MAX) Grave Scythe;Reaper;352
(MAX) Gravel Stone Seal;Sacred Seal;43
(MAX) Great Club;Colossal Weapon;489
(MAX) Great Epee;Heavy Thrusting Sword;303
(MAX) Great Knife;Dagger;183
(MAX) Great Mace;Great Hammer;328
(MAX) Great Omenkiller Cleaver;Greataxe;347
(MAX) Great Stars;Great Hammer;330
(MAX) Great Turtle Shield;Medium Shield;0
(MAX) Greataxe;Greataxe;369
(MAX) Greatbow;Greatbow;306
(MAX) Greathorn Hammer;Great Hammer;328
(MAX) Greatsword;Colossal Sword;401
(MAX) Grossmesser;Curved Sword;281
(MAX) Guardian's Swordspear;Halberd;340
(MAX) Halberd;Halberd;306
(MAX) Haligtree Crest Greatshield;Great Shield;0
(MAX) Halo Scythe;Reaper;475
(MAX) Hammer;Hammer;303
(MAX) Hand Axe;Axe;286
(MAX) Hand Ballista;Ballista;600
(MAX) Hand of Malenia;Katana;286
(MAX) Harp Bow;Light Bow;151
(MAX) Hawk Crest Wooden Shield;Medium Shield;0
(MAX) Heater Shield;Medium Shield;0
(MAX) Heater Shield;Shield;0
(MAX) Heavy Crossbow;Crossbow;288
(MAX) Helphen's Steeple;Greatsword;494
(MAX) Highland Axe;Axe;313
(MAX) Hookclaws;Claw;227
(MAX) Horn Bow;Bow;232
(MAX) Horse Crest Wooden Shield;Medium Shield;0
(MAX) Hoslow's Petal Whip;Whip;269
(MAX) Ice Crest Shield;Small Shield;0
(MAX) Icerind Hatchet;Axe;281
(MAX) Icon Shield;Great Shield;0
(MAX) Inquisitor's Girandole;Spear;410
(MAX) Inseparable Sword;Straight Sword;480
(MAX) Inverted Hawk Heater Shield;Medium Shield;0
(MAX) Inverted Hawk Towershield;Great Shield;0
(MAX) Iron Ball;Fist;247
(MAX) Iron Cleaver;Axe;306
(MAX) Iron Greatsword;Greatsword;365
(MAX) Iron Roundshield;Small Shield;0
(MAX) Iron Spear;Spear;279
(MAX) Ivory Sickle;Dagger;294
(MAX) Jar Cannon;Ballista;672
(MAX) Jawbone Axe;Axe;318
(MAX) Jellyfish Shield;Great Shield;0
(MAX) Katar;Fist;237
(MAX) Kite Shield;Medium Shield;0
(MAX) Knight's Greatsword;Greatsword;345
(MAX) Lance;Great Spear;301
(MAX) Large Club;Great Hammer;320
(MAX) Large Leather Shield;Medium Shield;0
(MAX) Large Leather Shield;Shield;0
(MAX) Lazuli Glintstone Sword;Straight Sword;423
(MAX) Light Crossbow;Crossbow;260
(MAX) Lion Greatbow;Greatbow;294
(MAX) Longbow;Bow;196
(MAX) Longhaft Axe;Greataxe;357
(MAX) Longsword;Straight Sword;269
(MAX) Lordsworn's Greatsword;Greatsword;333
(MAX) Lordsworn's Shield;Great Shield;0
(MAX) Lordsworn's Straight Sword;Straight Sword;281
(MAX) Loretta's War Sickle;Halberd;442
(MAX) Lucerne;Halberd;296
(MAX) Lusat's Glintstone Staff;Glintstone Staff;58
(MAX) Mace;Hammer;281
(MAX) Magma Blade;Curved Sword;386
(MAX) Magma Whip Candlestick;Whip;352
(MAX) Magma Wyrm's Scalesword;Curved Greatsword;460
(MAX) Maliketh's Black Blade;Colossal Sword;511
(MAX) Man-Serpent's Shield;Small Shield;0
(MAX) Manor Towershield;Great Shield;0
(MAX) Mantis Blade;Curved Sword;274
(MAX) Marais Executioner's Sword;Greatsword;379
(MAX) Marika's Hammer;Hammer;406
(MAX) Marred Leather Shield;Medium Shield;0
(MAX) Meteoric Ore Blade;Katana;450
(MAX) Meteorite Staff;Glintstone Staff;39
(MAX) Miquellan Knight's Sword;Straight Sword;423
(MAX) Misbegotten Shortbow;Light Bow;166
(MAX) Misericorde;Dagger;225
(MAX) Mohgwyn's Sacred Spear;Great Spear;386
(MAX) Monk's Flameblade;Curved Greatsword;328
(MAX) Monk's Flamemace;Hammer;308
(MAX) Moonveil;Katana;391
(MAX) Morgott's Cursed Sword;Curved Greatsword;294
(MAX) Morning Star;Hammer;289
(MAX) Nagakiba;Katana;281
(MAX) Nightrider Flail;Flail;281
(MAX) Nightrider Glaive;Halberd;316
(MAX) Noble's Estoc;Thrusting Sword;254
(MAX) Noble's Slender Sword;Straight Sword;247
(MAX) Nox Flowing Hammer;Hammer;298
(MAX) Nox Flowing Sword;Curved Sword;112
(MAX) Omen Cleaver;Curved Greatsword;347
(MAX) One-Eyed Shield;Great Shield;0
(MAX) Onyx Lord's Greatsword;Curved Greatsword;475
(MAX) Ordovis' Greatsword;Greatsword;431
(MAX) Ornamental Straight Sword;Straight Sword;247
(MAX) Parrying Dagger;Dagger;183
(MAX) Partisan;Spear;301
(MAX) Perfumer's Shield;Small Shield;0
(MAX) Pest's Glaive;Halberd;294
(MAX) Pickaxe;Great Hammer;352
(MAX) Pike;Spear;281
(MAX) Pillory Shield;Small Shield;0
(MAX) Prelate's Inferno Crozier;Colossal Weapon;382
(MAX) Prince of Death's Staff;Glintstone Staff;43
(MAX) Pulley Bow;Bow;188
(MAX) Pulley Crossbow;Crossbow;146
(MAX) Rapier;Thrusting Sword;235
(MAX) Raptor Talons;Claw;210
(MAX) Red Branch Shortbow;Light Bow;159
(MAX) Red Crest Heater Shield;Medium Shield;0
(MAX) Red Thorn Roundshield;Shield;0
(MAX) Red Thorn Roundshield;Small Shield;0
(MAX) Redmane Greatshield;Great Shield;0
(MAX) Reduvia;Dagger;193
(MAX) Regalia of Eochaid;Straight Sword;357
(MAX) Rickety Shield;Shield;0
(MAX) Rickety Shield;Small Shield;0
(MAX) Rift Shield;Shield;0
(MAX) Rift Shield;Small Shield;0
(MAX) Ringed Finger;Hammer;296
(MAX) Ripple Blade;Axe;183
(MAX) Ripple Crescent Halberd;Halberd;210
(MAX) Rivers of Blood;Katana;372
(MAX) Riveted Wooden Shield;Small Shield;0
(MAX) Rogier's Rapier;Thrusting Sword;227
(MAX) Rosus's Axe;Axe;450
(MAX) Rotten Battle Hammer;Great Hammer;308
(MAX) Rotten Crystal Spear;Spear;329
(MAX) Rotten Crystal Staff;Glintstone Staff;102
(MAX) Rotten Crystal Sword;Straight Sword;410
(MAX) Rotten Greataxe;Colossal Weapon;396
(MAX) Rotten Staff;Colossal Weapon;404
(MAX) Round Shield;Medium Shield;0
(MAX) Royal Greatsword;Colossal Sword;602
(MAX) Ruins Greatsword;Colossal Sword;393
(MAX) Rusted Anchor;Greataxe;360
(MAX) Sacred Relic Sword;Greatsword;475
(MAX) Sacrificial Axe;Axe;325
(MAX) Scavenger's Curved Sword;Curved Sword;257
(MAX) Scepter of the All-Knowing;Hammer;398
(MAX) Scimitar;Curved Sword;259
(MAX) Scorpion Kite Shield;Medium Shield;0
(MAX) Scorpion's Stinger;Dagger;193
(MAX) Scripture Wooden Shield;Shield;0
(MAX) Scripture Wooden Shield;Small Shield;0
(MAX) Scythe;Reaper;306
(MAX) Sentry's Torch;Torches;382
(MAX) Serpent Bow;Bow;183
(MAX) Serpent-God's Curved Sword;Curved Sword;276
(MAX) Serpent-Hunter;Great Spear;271
(MAX) Serpentbone Blade;Katana;294
(MAX) Shamshir;Curved Sword;264
(MAX) Shield of the Guilty;Small Shield;0
(MAX) Short Spear;Spear;274
(MAX) Short Sword;Straight Sword;249
(MAX) Shortbow;Light Bow;159
(MAX) Shotel;Curved Sword;235
(MAX) Siluria's Tree;Great Spear;440
(MAX) Silver Mirrorshield;Medium Shield;0
(MAX) Smoldering Shield;Small Shield;0
(MAX) Soldier's Crossbow;Crossbow;240
(MAX) Spear;Spear;279
(MAX) Spiked Caestus;Fist;222
(MAX) Spiked Club;Hammer;279
(MAX) Spiked Palisade Shield;Great Shield;0
(MAX) Spiked Spear;Spear;294
(MAX) Spiralhorn Shield;Small Shield;0
(MAX) St. Trina's Torch;Torches;346
(MAX) Staff of Loss;Glintstone Staff;38
(MAX) Staff of the Avatar;Colossal Weapon;454
(MAX) Staff of the Guilty;Glintstone Staff;66
(MAX) Star Fist;Fist;257
(MAX) Starscourge Greatsword;Colossal Sword;519
(MAX) Steel-Wire Torch;Torches;416
(MAX) Stone Club;Hammer;298
(MAX) Stormhawk Axe;Axe;333
(MAX) Sun Realm Shield;Medium Shield;0
(MAX) Sword of Milos;Greatsword;345
(MAX) Sword of Night and Flame;Straight Sword;487
(MAX) Sword of St. Trina;Straight Sword;340
(MAX) Thorned Whip;Whip;249
(MAX) Torch;Torches;369
(MAX) Torchpole;Torches;329
(MAX) Treespear;Great Spear;491
(MAX) Troll Knight's Sword;Colossal Sword;499
(MAX) Troll's Golden Sword;Colossal Sword;379
(MAX) Troll's Hammer;Colossal Weapon;484
(MAX) Twinbird Kite Shield;Medium Shield;0
(MAX) Twinblade;Twinblades;291
(MAX) Twinned Knight Swords;Twinblades;298
(MAX) Uchigatana;Katana;281
(MAX) Urumi;Whip;247
(MAX) Varre's Bouquet;Hammer;112
(MAX) Venomous Fang;Claw;237
(MAX) Veteran's Prosthesis;Fist;332
(MAX) Visage Shield;Great Shield;0
(MAX) Vulgar Militia Saw;Halberd;308
(MAX) Vulgar Militia Shotel;Halberd;296
(MAX) Vyke's War Spear;Great Spear;413
(MAX) Wakizashi;Dagger;230
(MAX) Warhawk's Talon;Straight Sword;247
(MAX) Warped Axe;Greataxe;303
(MAX) Warpick;Hammer;264
(MAX) Watchdog's Greatsword;Colossal Sword;347
(MAX) Watchdog's Staff;Colossal Weapon;404
(MAX) Weathered Straight Sword;Straight Sword;252
(MAX) Whip;Whip;245
(MAX) Wing of Astel;Curved Sword;350
(MAX) Winged Greathorn;Greataxe;318
(MAX) Winged Scythe;Reaper;467
(MAX) Wooden Greatshield;Great Shield;0
(MAX) Zamor Curved Sword;Curved Greatsword;306
(MAX) Zweihander;Colossal Sword;345
